Date,State,District,Pincode,Demo_age_5_17,Demo_age_17+
01-03-2025,Uttar Pradesh,Kanpur Dehat,209306,120,1944
01-03-2025,Karnataka,Davangere,577215,18,121
01-03-2025,Gujarat,Bharuch,392001,270,1410
01-03-2025,Uttar Pradesh,Kanpur Dehat,209307,24,534
01-03-2025,Punjab,Sri Muktsar Sahib,152026,70,866
01-03-2025,Uttar Pradesh,Bara Banki,225405,28,591
01-03-2025,Bihar,Madhubani,847121,39,436
01-03-2025,Karnataka,Tumkur,572130,10,186
01-03-2025,Maharashtra,Parbhani,431503,66,2099
01-03-2025,Tamil Nadu,Tiruppur,638106,10,304
01-03-2025,Chhattisgarh,Bilaspur,495001,259,2678
01-03-2025,Tamil Nadu,Cuddalore,606108,17,519
01-03-2025,Odisha,Jagatsinghpur,754141,17,346
01-03-2025,Maharashtra,Nashik,422103,74,992
01-03-2025,Maharashtra,Bhandara,441924,10,124
01-03-2025,West Bengal,Purba Medinipur,721151,28,430
01-03-2025,Uttar Pradesh,Jaunpur,222142,139,1545
01-03-2025,West Bengal,Cooch Behar,736134,66,991
01-03-2025,Odisha,Malkangiri,764047,83,514
01-03-2025,West Bengal,Howrah,711302,32,711
01-03-2025,Uttar Pradesh,Pratapgarh,229408,35,413
01-03-2025,Telangana,Sangareddy,502001,65,335
01-03-2025,Uttar Pradesh,Gonda,271309,34,642
01-03-2025,Uttar Pradesh,Chandauli,232118,77,819
01-03-2025,Telangana,Suryapet,508213,139,1035
01-03-2025,Telangana,Medchal-malkajgiri,500083,98,471
01-03-2025,Uttar Pradesh,Shahjahanpur,242221,260,3707
01-03-2025,Rajasthan,Ajmer,305813,62,826
01-03-2025,Rajasthan,Bhilwara,311302,72,1971
01-03-2025,Madhya Pradesh,Chhatarpur,471201,281,1242
01-03-2025,Maharashtra,Thane,421402,12,278
01-03-2025,Tamil Nadu,Madurai,625005,47,417
01-03-2025,Gujarat,Anand,388320,16,165
01-03-2025,Uttar Pradesh,Bulandshahr,202394,161,1469
01-03-2025,Rajasthan,Chittorgarh,312205,49,1385
01-03-2025,Bihar,Vaishali,844501,43,630
01-03-2025,Gujarat,Sabarkantha,383421,20,97
01-03-2025,Madhya Pradesh,Datia,475336,78,443
01-03-2025,Rajasthan,Sikar,332023,56,347
01-03-2025,Maharashtra,Thane,421403,10,256
01-03-2025,Maharashtra,Pune,412403,16,240
01-03-2025,Tamil Nadu,Kancheepuram,603405,12,162
01-03-2025,Rajasthan,Alwar,321606,68,851
01-03-2025,Jammu and Kashmir,Anantnag,192202,126,649
01-03-2025,Uttarakhand,Pauri Garhwal,246162,10,150
01-03-2025,Uttar Pradesh,Gonda,271602,72,1296
01-03-2025,Madhya Pradesh,Vidisha,464337,40,257
01-03-2025,Assam,Jorhat,785006,16,307
01-03-2025,Odisha,Nuapada,766108,37,485
01-03-2025,Tripura,North Tripura,799256,41,534
01-03-2025,Bihar,Vaishali,843102,19,291
01-03-2025,Rajasthan,Jaipur,303338,40,578
01-03-2025,Karnataka,Hassan,573211,64,462
01-03-2025,Karnataka,Davangere,577225,23,70
01-03-2025,Maharashtra,Aurangabad,423702,14,388
01-03-2025,Karnataka,Mandya,571438,23,177
01-03-2025,Assam,Nagaon,782425,29,566
01-03-2025,Maharashtra,Mumbai,400018,13,294
01-03-2025,Karnataka,Belagavi,590010,78,272
01-03-2025,Manipur,Imphal East,795010,130,847
01-03-2025,Maharashtra,Ahmadnagar,413705,23,637
01-03-2025,Madhya Pradesh,Chhatarpur,471311,114,875
01-03-2025,Uttar Pradesh,Kasganj,207124,67,922
01-03-2025,Goa,South Goa,403708,10,92
01-03-2025,Karnataka,Chitradurga,577515,21,109
01-03-2025,Tamil Nadu,Tirunelveli,627806,25,186
01-03-2025,Telangana,Karimnagar,505451,44,171
01-03-2025,Punjab,Ferozepur,152003,35,444
01-03-2025,Andhra Pradesh,Tirupati,517501,126,1273
01-03-2025,Maharashtra,Nanded,431707,10,213
01-03-2025,Odisha,Ganjam,761010,59,389
01-03-2025,Haryana,Charkhi Dadri,127042,35,182
01-03-2025,Gujarat,Kheda,387315,92,398
01-03-2025,Madhya Pradesh,Narmadapuram,461990,44,236
01-03-2025,Andhra Pradesh,Hyderabad,500029,17,93
01-03-2025,Tamil Nadu,Tirunelveli,627413,13,154
01-03-2025,Andhra Pradesh,Srikakulam,532474,26,150
01-03-2025,Tamil Nadu,Tiruppur,641655,20,229
01-03-2025,Andhra Pradesh,Kakinada,533003,35,250
01-03-2025,Uttarakhand,Almora,263623,35,232
01-03-2025,Tamil Nadu,Pudukkottai,622504,14,317
01-03-2025,Uttar Pradesh,Mathura,281206,36,326
01-03-2025,Tamil Nadu,Tiruchirappalli,621306,46,551
01-03-2025,Kerala,Kozhikode,673574,22,209
01-03-2025,Karnataka,Mysuru,570026,20,217
01-03-2025,Telangana,Nalgonda,508101,21,67
01-03-2025,Punjab,Ferozepur,142050,11,178
01-03-2025,Kerala,Thrissur,680523,10,43
01-03-2025,Odisha,Bargarh,768052,11,133
01-03-2025,Andhra Pradesh,Parvathipuram Manyam,535523,22,201
01-03-2025,Andhra Pradesh,Anantapur,515521,10,306
01-03-2025,Uttar Pradesh,Ghazipur,232327,44,326
01-03-2025,Telangana,Warangal,506003,17,43
01-03-2025,Assam,Karimganj,788723,40,263
01-03-2025,Odisha,Boudh,762026,22,230
01-03-2025,Andhra Pradesh,Tirupati,517101,10,59
01-03-2025,Uttar Pradesh,Bhadohi,221406,28,260
01-03-2025,Odisha,Khorda,751025,16,126
01-03-2025,West Bengal,Barddhaman,713150,10,299
01-03-2025,Kerala,Kollam,691505,11,157
01-03-2025,Karnataka,Chitradurga,577599,18,129
01-03-2025,Maharashtra,Satara,415110,11,229
01-03-2025,Assam,Kamrup Metro,781022,11,142
01-03-2025,Madhya Pradesh,Dhar,454774,12,140
01-03-2025,Karnataka,Shivamogga,577211,27,61
01-03-2025,Meghalaya,Ri Bhoi,781131,20,154
01-03-2025,Gujarat,Banaskantha,385530,44,395
01-03-2025,Gujarat,Jamnagar,361110,13,143
01-03-2025,Maharashtra,Mumbai,400084,11,281
01-03-2025,Maharashtra,Dharashiv,413501,22,141
01-03-2025,Madhya Pradesh,Sehore,466221,18,142
01-03-2025,Tamil Nadu,Nagapattinam,609806,11,136
01-03-2025,Gujarat,Surat,394317,18,93
01-03-2025,Telangana,Medak,502312,11,24
01-03-2025,Madhya Pradesh,Raisen,464661,21,175
01-03-2025,Karnataka,Uttara Kannada,581186,15,21
01-03-2025,Kerala,Kozhikode,673616,18,158
01-03-2025,Kerala,Kannur,670694,10,94
01-03-2025,Maharashtra,Amravati,444804,11,98
01-03-2025,Uttar Pradesh,Jhansi,284305,10,39
01-03-2025,Uttar Pradesh,Etawah,206242,157,2331
01-03-2025,Maharashtra,Pune,410507,32,573
01-03-2025,Haryana,Panipat,132113,55,290
01-03-2025,Uttar Pradesh,Fatehpur,212650,51,622
01-03-2025,Karnataka,Bidar,585414,21,136
01-03-2025,Maharashtra,Jalgaon,425401,68,913
01-03-2025,Rajasthan,Banswara,327027,79,3092
01-03-2025,Bihar,Kishanganj,855115,107,1586
01-03-2025,Tamil Nadu,Thanjavur,614612,15,315
01-03-2025,Maharashtra,Nashik,423105,43,1110
01-03-2025,Puducherry,Puducherry,605009,52,416
01-03-2025,Madhya Pradesh,Sagar,470226,55,861
01-03-2025,Bihar,Aurangabad,824202,150,1338
01-03-2025,Jharkhand,Dhanbad,828126,10,196
01-03-2025,Uttar Pradesh,Sultanpur,228155,66,783
01-03-2025,Haryana,Rewari,123411,59,427
01-03-2025,Jharkhand,Hazaribagh,829129,12,248
01-03-2025,Uttar Pradesh,Deoria,274701,106,1110
01-03-2025,Chhattisgarh,Bastar,494223,40,832
01-03-2025,Telangana,Bhadradri Kothagudem,507116,48,229
01-03-2025,Jharkhand,Bokaro,829127,14,553
01-03-2025,Jharkhand,Koderma,825132,31,1096
01-03-2025,Maharashtra,Latur,413530,10,175
01-03-2025,West Bengal,Jalpaiguri,735225,28,459
01-03-2025,Tamil Nadu,Kanyakumari,629004,22,89
01-03-2025,Jharkhand,East Singhbhum,832110,39,542
01-03-2025,Punjab,Kapurthala,144601,58,889
01-03-2025,Andhra Pradesh,Cuddapah,516175,33,359
01-03-2025,Andhra Pradesh,Vizianagaram,535128,51,591
01-03-2025,Uttar Pradesh,Kheri,262801,33,586
01-03-2025,Uttar Pradesh,Ambedkar Nagar,224125,39,611
01-03-2025,Maharashtra,Sindhudurg,416520,16,304
01-03-2025,Uttarakhand,Haridwar,247656,116,1054
01-03-2025,West Bengal,Birbhum,731233,29,388
01-03-2025,Uttar Pradesh,Jaunpur,222170,58,761
01-03-2025,Madhya Pradesh,Neemuch,458228,25,497
01-03-2025,Bihar,Patna,801304,20,231
01-03-2025,Jharkhand,Gumla,835220,18,310
01-03-2025,Uttar Pradesh,Sonbhadra,231217,34,316
01-03-2025,Bihar,Saharsa,852202,71,954
01-03-2025,Karnataka,Bellary,583123,20,359
01-03-2025,Bihar,Siwan,841233,53,651
01-03-2025,Uttar Pradesh,Lucknow,226020,123,1355
01-03-2025,Rajasthan,Ajmer,305405,29,692
01-03-2025,Bihar,Gopalganj,841420,49,710
01-03-2025,Karnataka,Bangalore,560032,17,270
01-03-2025,West Bengal,Hooghly,712232,15,327
01-03-2025,Kerala,Malappuram,676553,10,155
01-03-2025,Haryana,Panchkula,134109,86,641
01-03-2025,Jammu and Kashmir,Jammu,181221,47,338
01-03-2025,Chhattisgarh,Kanker,494670,53,332
01-03-2025,Odisha,Cuttack,754130,36,235
01-03-2025,Uttar Pradesh,Ballia,221711,133,1393
01-03-2025,Rajasthan,Jaisalmer,345025,61,1132
01-03-2025,Karnataka,Bagalkot,587113,144,267
01-03-2025,Uttar Pradesh,Kheri,262803,17,501
01-03-2025,Uttar Pradesh,Faizabad,224206,17,245
01-03-2025,Tamil Nadu,Vellore,635651,19,276
01-03-2025,Uttar Pradesh,Jaunpur,222162,115,929
01-03-2025,Uttar Pradesh,Kheri,262728,23,680
01-03-2025,Uttar Pradesh,Moradabad,244401,80,1429
01-03-2025,Madhya Pradesh,Jabalpur,482020,16,136
01-03-2025,Uttar Pradesh,Budaun,243637,53,933
01-03-2025,Tamil Nadu,The Nilgiris,643102,14,147
01-03-2025,Himachal Pradesh,Sirmaur,173023,34,333
01-03-2025,Telangana,Hyderabad,500024,55,363
01-03-2025,Assam,Golaghat,785622,33,525
01-03-2025,Gujarat,Vadodara,391250,20,157
01-03-2025,Jharkhand,Chatra,825321,117,1829
01-03-2025,Karnataka,Yadgir,585291,98,193
01-03-2025,Kerala,Kannur,670142,22,287
01-03-2025,Rajasthan,Karauli,322249,90,668
01-03-2025,Karnataka,Dakshina Kannada,574230,32,169
01-03-2025,Uttar Pradesh,Bahraich,271881,98,1255
01-03-2025,Uttar Pradesh,Jhansi,284001,55,821
01-03-2025,Madhya Pradesh,Rewa,486123,60,554
01-03-2025,Andhra Pradesh,Y. S. R,516390,23,214
01-03-2025,Odisha,Cuttack,754030,36,477
01-03-2025,Telangana,Vikarabad,501106,34,139
01-03-2025,Assam,Karbi Anglong,782482,86,707
01-03-2025,Maharashtra,Yavatmal,445201,10,203
01-03-2025,Andhra Pradesh,Khammam,507001,23,270
01-03-2025,Goa,North Goa,403505,34,180
01-03-2025,Tamil Nadu,Ramanathapuram,623703,20,363
01-03-2025,Bihar,Buxar,802112,63,713
01-03-2025,Andhra Pradesh,Chittoor,517128,13,161
01-03-2025,Uttar Pradesh,Bulandshahr,203002,33,197
01-03-2025,Tamil Nadu,Virudhunagar,626004,12,173
01-03-2025,Tamil Nadu,Thiruvarur,614704,25,290
01-03-2025,Andhra Pradesh,Visakhapatnam,531061,21,528
01-03-2025,Andhra Pradesh,Nalgonda,508205,14,121
01-03-2025,Andhra Pradesh,Rangareddi,500035,22,141
01-03-2025,Madhya Pradesh,Damoh,470675,22,273
01-03-2025,Rajasthan,Sikar,332722,14,137
01-03-2025,Gujarat,Kheda,387230,14,111
01-03-2025,Maharashtra,Raigarh,402104,11,263
01-03-2025,Andhra Pradesh,West Godavari,507121,20,98
01-03-2025,Assam,Darrang,784125,72,721
01-03-2025,Tamil Nadu,Salem,636304,20,264
01-03-2025,Uttar Pradesh,Firozabad,283152,34,407
01-03-2025,Tamil Nadu,Tiruppur,642128,11,112
01-03-2025,Andhra Pradesh,Nellore,524223,13,436
01-03-2025,Tamil Nadu,Madurai,625218,20,278
01-03-2025,Tamil Nadu,Tirunelveli,627760,10,164
01-03-2025,Tamil Nadu,Tenkasi,627809,16,133
01-03-2025,Andhra Pradesh,Mahabub Nagar,509301,13,92
01-03-2025,Kerala,Idukki,685509,13,108
01-03-2025,Karnataka,Ramanagar,562127,36,280
01-03-2025,Kerala,Kollam,690523,17,237
01-03-2025,Uttarakhand,Tehri Garhwal,249001,28,175
01-03-2025,Tamil Nadu,Coimbatore,641108,21,286
01-03-2025,Karnataka,Gadag,582115,129,125
01-03-2025,Odisha,Sonapur,767045,11,201
01-03-2025,Karnataka,Dharwad,580003,19,75
01-03-2025,Kerala,Ernakulam,682028,10,136
01-03-2025,Chandigarh,Chandigarh,160055,19,177
01-03-2025,Karnataka,Vijayapura,586119,61,58
01-03-2025,Karnataka,Bijapur,586202,50,138
01-03-2025,Tamil Nadu,Kanyakumari,629801,27,58
01-03-2025,Andhra Pradesh,Ananthapur,515004,31,76
01-03-2025,Telangana,Karimnagar,505306,16,53
01-03-2025,Karnataka,Tumkur,572228,32,39
01-03-2025,Karnataka,Tumakuru,572219,16,48
01-03-2025,Madhya Pradesh,Balaghat,481449,250,783
01-03-2025,Uttar Pradesh,Lalitpur,284405,93,1328
01-03-2025,Uttar Pradesh,Shahjahanpur,242001,548,8443
01-03-2025,Jharkhand,Deoghar,815353,205,7256
01-03-2025,Tamil Nadu,Tirunelveli,627104,11,418
01-03-2025,Maharashtra,Nagpur,440010,18,356
01-03-2025,Rajasthan,Pratapgarh,312623,29,804
01-03-2025,Jharkhand,Jamtara,815351,90,2972
01-03-2025,Haryana,Gurgaon,122002,75,871
01-03-2025,Chhattisgarh,Surguja,497116,172,1881
01-03-2025,Punjab,Jalandhar,144023,12,189
01-03-2025,Jharkhand,Hazaribagh,825312,74,1100
01-03-2025,Bihar,Aurangabad,824121,82,707
01-03-2025,Uttar Pradesh,Bahraich,271903,174,2203
01-03-2025,Maharashtra,Aurangabad,431147,18,340
01-03-2025,Gujarat,Bhavnagar,364710,220,765
01-03-2025,Jharkhand,Ranchi,835217,48,613
01-03-2025,Bihar,Khagaria,852161,148,1584
01-03-2025,Maharashtra,Jalna,431206,21,980
01-03-2025,Uttar Pradesh,Kheri,262905,43,1235
01-03-2025,Bihar,Muzaffarpur,843165,32,200
01-03-2025,Madhya Pradesh,Damoh,470880,127,2136
01-03-2025,Maharashtra,Solapur,413107,10,388
01-03-2025,Gujarat,Surat,394620,13,80
01-03-2025,Jharkhand,Koderma,825418,21,1783
01-03-2025,Maharashtra,Ahmadnagar,414001,75,1065
01-03-2025,Punjab,Sri Muktsar Sahib,152113,36,459
01-03-2025,Chhattisgarh,Durg,490025,29,374
01-03-2025,Maharashtra,Beed,431122,209,2865
01-03-2025,Bihar,East Champaran,845303,181,1653
01-03-2025,Uttar Pradesh,Shamli,247776,257,2361
01-03-2025,Bihar,Gaya,805128,91,1016
01-03-2025,Uttar Pradesh,Lucknow,227105,17,435
01-03-2025,Bihar,Katihar,855102,240,1908
01-03-2025,Uttar Pradesh,Kanpur Nagar,209214,73,1053
01-03-2025,Puducherry,Puducherry,605003,28,186
01-03-2025,Uttar Pradesh,Shahjahanpur,242223,54,682
01-03-2025,Andhra Pradesh,Nalgonda,508204,11,254
01-03-2025,Chhattisgarh,Durg,490001,64,306
01-03-2025,Karnataka,Tumakuru,572119,27,56
01-03-2025,Jharkhand,Latehar,822111,63,1363
01-03-2025,Kerala,Palakkad,678004,22,230
01-03-2025,Maharashtra,Raigad,410221,24,236
01-03-2025,Punjab,Ludhiana,141123,15,255
01-03-2025,Himachal Pradesh,Kangra,176029,16,123
01-03-2025,Uttarakhand,Pithoragarh,262530,11,107
01-03-2025,Jammu and Kashmir,Srinagar,191101,25,317
01-03-2025,Karnataka,Belagavi,591244,21,66
01-03-2025,Rajasthan,Jodhpur,342037,70,1655
01-03-2025,Uttar Pradesh,Mahoba,210424,39,811
01-03-2025,Andhra Pradesh,Prakasam,523117,21,144
01-03-2025,Karnataka,Kalaburagi,585302,72,346
01-03-2025,Uttar Pradesh,Varanasi,221107,89,1048
01-03-2025,Uttar Pradesh,Meerut,250106,27,459
01-03-2025,Maharashtra,Kolhapur,416202,15,247
01-03-2025,Assam,Kamrup,781122,14,177
01-03-2025,Uttarakhand,Chamoli,246427,14,167
01-03-2025,Rajasthan,Ganganagar,335073,31,791
01-03-2025,Gujarat,Mahesana,384355,62,350
01-03-2025,Madhya Pradesh,Balaghat,481551,33,361
01-03-2025,Tamil Nadu,Vellore,635851,17,269
01-03-2025,Gujarat,Jamnagar,360520,27,184
01-03-2025,Madhya Pradesh,Sagar,470117,43,786
01-03-2025,Assam,Hojai,782447,24,231
01-03-2025,Andhra Pradesh,Warangal,506167,38,212
01-03-2025,Assam,Golaghat,785611,61,589
01-03-2025,Telangana,Jayashankar Bhupalpally,506169,38,466
01-03-2025,Chhattisgarh,Bilaspur,495550,36,776
01-03-2025,Odisha,Ganjam,760006,28,351
01-03-2025,Madhya Pradesh,Seoni,480990,118,838
01-03-2025,Madhya Pradesh,Bhind,477331,45,563
01-03-2025,Maharashtra,Yavatmal,445304,133,646
01-03-2025,Madhya Pradesh,Sehore,466554,55,157
01-03-2025,Chhattisgarh,Kanker,494771,12,69
01-03-2025,West Bengal,Darjeeling,734010,26,584
01-03-2025,Maharashtra,Aurangabad,431107,31,392
01-03-2025,Bihar,Madhepura,852124,35,310
01-03-2025,Bihar,Kaimur (Bhabua),821103,74,904
01-03-2025,Rajasthan,Udaipur,313204,52,791
01-03-2025,Tamil Nadu,Tirunelveli,627651,15,242
01-03-2025,Goa,South Goa,403707,50,284
01-03-2025,Uttar Pradesh,Kanpur Dehat,209112,42,617
01-03-2025,Madhya Pradesh,Mandsaur,458556,101,667
01-03-2025,Maharashtra,Ahmadnagar,414609,10,117
01-03-2025,Rajasthan,Jaipur,303603,86,725
01-03-2025,Gujarat,Surat,395003,165,1492
01-03-2025,Tripura,West Tripura,799006,26,236
01-03-2025,Tamil Nadu,Tiruchirappalli,620012,40,343
01-03-2025,Telangana,Warangal Urban,506005,36,192
01-03-2025,West Bengal,Purba Medinipur,721657,10,133
01-03-2025,Karnataka,Belgaum,591122,174,121
01-03-2025,Uttar Pradesh,Ayodhya,224164,15,172
01-03-2025,Rajasthan,Jhunjhunun,333028,37,385
01-03-2025,Telangana,Nizamabad,503002,69,362
01-03-2025,Andhra Pradesh,Visakhapatnam,531219,28,405
01-03-2025,Kerala,Thiruvananthapuram,695505,19,287
01-03-2025,West Bengal,Hooghly,712602,16,284
01-03-2025,Maharashtra,Nanded,431742,10,340
01-03-2025,Gujarat,Arvalli,383316,15,37
01-03-2025,Andhra Pradesh,Nellore,524415,12,113
01-03-2025,Telangana,Khammam,507160,32,261
01-03-2025,Uttar Pradesh,Jaunpur,222002,57,600
01-03-2025,Uttar Pradesh,Kushinagar,274408,14,139
01-03-2025,Bihar,Buxar,802115,10,183
01-03-2025,Tamil Nadu,Tirunelveli,627423,19,171
01-03-2025,Andhra Pradesh,N. T. R,520001,50,400
01-03-2025,Telangana,Medak,502210,23,133
01-03-2025,Uttarakhand,Nainital,263134,19,136
01-03-2025,Andhra Pradesh,Hyderabad,500036,14,131
01-03-2025,Madhya Pradesh,Sehore,466651,21,164
01-03-2025,Andaman and Nicobar Islands,North And Middle Andaman,744202,10,201
01-03-2025,Rajasthan,Sikar,332303,11,146
01-03-2025,Sikkim,South Sikkim,737134,14,132
01-03-2025,Kerala,Kannur,670581,11,139
01-03-2025,West Bengal,Hooghly,712122,12,193
01-03-2025,Karnataka,Bengaluru,560015,35,160
01-03-2025,Andhra Pradesh,Ananthapur,515767,25,93
01-03-2025,Karnataka,Udupi,576234,18,117
01-03-2025,Kerala,Idukki,685606,10,88
01-03-2025,Haryana,Kurukshetra,136132,34,571
01-03-2025,Odisha,Jagatsinghapur,754137,21,265
01-03-2025,Rajasthan,Jaisalmer,345024,33,271
01-03-2025,Maharashtra,Kolhapur,416208,10,197
01-03-2025,Assam,Darrang,784144,18,161
01-03-2025,Andhra Pradesh,Krishna,521211,18,315
01-03-2025,Tamil Nadu,Namakkal,637021,10,154
01-03-2025,Arunachal Pradesh,Tawang,790104,12,104
01-03-2025,Tamil Nadu,Thoothukkudi,627352,12,68
01-03-2025,Nagaland,Tuensang,798616,16,167
01-03-2025,Tamil Nadu,Tirunelveli,627110,16,93
01-03-2025,Kerala,Kozhikode,673527,16,116
01-03-2025,Jharkhand,East Singhbhum,831015,14,131
01-03-2025,Tamil Nadu,Salem,636014,18,101
01-03-2025,Gujarat,Tapi,394633,14,28
01-03-2025,Rajasthan,Barmer,344706,108,3061
01-03-2025,Uttar Pradesh,Balrampur,271201,117,2605
01-03-2025,Rajasthan,Jhalawar,326022,49,1153
01-03-2025,Bihar,Darbhanga,847427,81,1195
01-03-2025,Gujarat,Ahmedabad,380008,142,1107
01-03-2025,Uttar Pradesh,Amroha,244222,66,870
01-03-2025,Bihar,Sitamarhi,843316,129,1250
01-03-2025,Assam,Sonitpur,784182,20,527
01-03-2025,Uttarakhand,Dehradun,248002,65,480
01-03-2025,Uttar Pradesh,Moradabad,244402,48,1286
01-03-2025,Telangana,Jayashankar Bhupalpally,505503,71,851
01-03-2025,Uttar Pradesh,Meerut,250205,21,523
01-03-2025,Maharashtra,Pune,412106,44,622
01-03-2025,Jharkhand,Palamu,822118,176,3646
01-03-2025,Delhi,South West Delhi,110066,26,230
01-03-2025,West Bengal,Birbhum,731237,74,777
01-03-2025,Haryana,Rewari,123401,338,2151
01-03-2025,Madhya Pradesh,Chhatarpur,471318,107,871
01-03-2025,Bihar,Sitamarhi,843327,169,1744
01-03-2025,Madhya Pradesh,Bhopal,462003,108,875
01-03-2025,Maharashtra,Jalgaon,425302,16,266
01-03-2025,Andaman and Nicobar Islands,South Andaman,744105,26,171
01-03-2025,Gujarat,Navsari,396580,309,479
01-03-2025,Rajasthan,Jaipur,302002,109,1250
01-03-2025,Chhattisgarh,Bemetara,491993,44,1249
01-03-2025,Gujarat,Junagadh,362001,186,1122
01-03-2025,Uttar Pradesh,Deoria,274001,378,4363
01-03-2025,Madhya Pradesh,Damoh,470666,52,517
01-03-2025,Rajasthan,Jaipur,303119,137,714
01-03-2025,Gujarat,Bharuch,394115,10,98
01-03-2025,Rajasthan,Rajsamand,305922,11,418
01-03-2025,Odisha,Mayurbhanj,757043,77,593
01-03-2025,Uttar Pradesh,Etawah,206131,22,648
01-03-2025,Uttar Pradesh,Mau,275301,104,938
01-03-2025,West Bengal,South 24 Parganas,700063,15,384
01-03-2025,Tripura,Gomati,799101,73,766
01-03-2025,Andhra Pradesh,Anantapur,515551,12,106
01-03-2025,Tamil Nadu,Kancheepuram,631561,15,229
01-03-2025,Chhattisgarh,Dhamtari,492109,10,320
01-03-2025,Madhya Pradesh,Damoh,470881,33,520
01-03-2025,Gujarat,Valsad,396125,124,479
01-03-2025,Karnataka,Belagavi,591117,86,134
01-03-2025,Rajasthan,Jhunjhunun,333031,73,1016
01-03-2025,West Bengal,Birbhum,731123,41,631
01-03-2025,Uttar Pradesh,Bijnor,246728,40,449
01-03-2025,Madhya Pradesh,Katni,483330,57,600
01-03-2025,Haryana,Yamuna Nagar,135101,46,432
01-03-2025,Bihar,Patna,800008,239,1694
01-03-2025,Odisha,Balangir,767066,31,168
01-03-2025,Andhra Pradesh,Guntur,522304,12,202
01-03-2025,Andhra Pradesh,Palnadu,522413,20,240
01-03-2025,Tamil Nadu,Dharmapuri,636809,61,573
01-03-2025,West Bengal,Purba Medinipur,721139,40,560
01-03-2025,Karnataka,Vijayapura,586211,59,114
01-03-2025,Rajasthan,Jalor,343001,67,1395
01-03-2025,West Bengal,North 24 Parganas,700130,24,261
01-03-2025,Assam,Hojai,782442,25,425
01-03-2025,Uttar Pradesh,Deoria,274404,142,1370
01-03-2025,Madhya Pradesh,Khandwa,450551,84,204
01-03-2025,Telangana,Warangal Rural,506349,11,244
01-03-2025,Tamil Nadu,Namakkal,637019,12,114
01-03-2025,Bihar,Muzaffarpur,844120,102,1053
01-03-2025,Uttar Pradesh,Rae Bareli,229130,37,506
01-03-2025,Telangana,Medak,502255,43,100
01-03-2025,Rajasthan,Tonk,304024,86,1273
01-03-2025,Uttar Pradesh,Balrampur,271861,44,1029
01-03-2025,Rajasthan,Ajmer,305922,24,599
01-03-2025,Karnataka,Belgaum,591307,201,339
01-03-2025,Rajasthan,Dausa,303004,29,466
01-03-2025,Rajasthan,Bhilwara,311602,69,777
01-03-2025,Kerala,Thiruvananthapuram,695103,17,183
01-03-2025,Uttar Pradesh,Siddharthnagar,272208,114,1130
01-03-2025,Telangana,Nagarkurnool,509412,73,168
01-03-2025,Tamil Nadu,Salem,637107,14,133
01-03-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524001,27,286
01-03-2025,Rajasthan,Pratapgarh,312616,23,652
01-03-2025,Rajasthan,Jhunjhunun,333303,17,222
01-03-2025,Andhra Pradesh,Ananthapur,515415,17,29
01-03-2025,Rajasthan,Chittorgarh,312620,46,939
01-03-2025,Tamil Nadu,Perambalur,621109,12,162
01-03-2025,West Bengal,Murshidabad,742402,15,165
01-03-2025,Rajasthan,Kota,325009,47,1580
01-03-2025,Uttar Pradesh,Amethi,227412,24,298
01-03-2025,Uttar Pradesh,Meerut,250341,31,656
01-03-2025,Andhra Pradesh,Kurnool,518301,109,998
01-03-2025,Manipur,Thoubal,795101,12,114
01-03-2025,Andhra Pradesh,Guntur,522259,39,247
01-03-2025,Uttar Pradesh,Prayagraj,221503,63,636
01-03-2025,Chhattisgarh,Koriya,497331,80,391
01-03-2025,Odisha,JAJPUR,755043,38,234
01-03-2025,Rajasthan,Sirohi,307513,18,201
01-03-2025,Uttar Pradesh,Moradabad,202415,21,230
01-03-2025,Telangana,Jayashankar Bhupalpally,506168,38,307
01-03-2025,Tamil Nadu,Ramanathapuram,623707,51,760
01-03-2025,Andhra Pradesh,Chittoor,517643,25,388
01-03-2025,Uttar Pradesh,Moradabad,244504,22,312
01-03-2025,Karnataka,Bangalore,560005,10,115
01-03-2025,Andhra Pradesh,Cuddapah,516172,45,503
01-03-2025,Maharashtra,Osmanabad,413505,27,643
01-03-2025,Kerala,Thrissur,679562,10,114
01-03-2025,Jammu and Kashmir,Udhampur,182125,35,474
01-03-2025,West Bengal,Hooghly,712311,27,480
01-03-2025,Gujarat,Jamnagar,361162,27,163
01-03-2025,Tamil Nadu,Ramanathapuram,623403,14,145
01-03-2025,Karnataka,Tumakuru,572120,22,97
01-03-2025,Karnataka,Dakshina Kannada,574203,17,100
01-03-2025,Rajasthan,Churu,331021,17,126
01-03-2025,Himachal Pradesh,Una,174301,24,243
01-03-2025,Karnataka,Davangere,577551,21,97
01-03-2025,Tamil Nadu,Vellore,632113,10,137
01-03-2025,Gujarat,Junagadh,362260,34,192
01-03-2025,Gujarat,Bharuch,393120,35,197
01-03-2025,Andhra Pradesh,Kakinada,533401,27,217
01-03-2025,Andhra Pradesh,Hyderabad,500016,11,98
01-03-2025,Karnataka,Belgaum,591233,83,137
01-03-2025,Andhra Pradesh,Hyderabad,500020,29,157
01-03-2025,Tamil Nadu,Tiruppur,642113,11,127
01-03-2025,Andhra Pradesh,Chittoor,517426,14,48
